Time Zone: (UTC-05:00) Central Daylight Time (America/Chicago)

Contact Session ID,EP Name,Flow Name,Activity Name,Activity Start Timestamp,Queue Name,Agent Name,Termination Reason
d9298ebf-fa12-4c81-b35f-7f68b4723071,Main Number Telephony EP,N/A,N/A,2025/05/18 12:09:51 AM,N/A,N/A,
d9298ebf-fa12-4c81-b35f-7f68b4723071,N/A,LACMain,N/A,2025/05/18 12:09:51 AM,N/A,N/A,N/A
d9298ebf-fa12-4c81-b35f-7f68b4723071,Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/05/18 12:09:51 AM,N/A,N/A,N/A
d9298ebf-fa12-4c81-b35f-7f68b4723071,Main Number Telephony EP,LACMain,N/A,2025/05/18 12:09:51 AM,N/A,N/A,
d9298ebf-fa12-4c81-b35f-7f68b4723071,N/A,ClosedHoursHolidaysMenu,N/A,2025/05/18 12:10:01 AM,N/A,N/A,N/A
d9298ebf-fa12-4c81-b35f-7f68b4723071,Closed Hours-Holidays Menu Telephony EP,N/A,ClosedMenu,2025/05/18 12:10:01 AM,N/A,N/A,N/A
d9298ebf-fa12-4c81-b35f-7f68b4723071,Closed Hours-Holidays Menu Telephony EP,N/A,AddressFaxHoursMenu,2025/05/18 12:10:57 AM,N/A,N/A,N/A
d9298ebf-fa12-4c81-b35f-7f68b4723071,Closed Hours-Holidays Menu Telephony EP,N/A,ClosedMenu,2025/05/18 12:11:29 AM,N/A,N/A,N/A
d9298ebf-fa12-4c81-b35f-7f68b4723071,Closed Hours-Holidays Menu Telephony EP,N/A,N/A,2025/05/18 12:11:35 AM,N/A,N/A,Customer Left
e417889e-7212-4951-9d99-195589f67c7c,Main Number Telephony EP,N/A,N/A,2025/05/18 03:46:16 AM,N/A,N/A,
e417889e-7212-4951-9d99-195589f67c7c,N/A,LACMain,N/A,2025/05/18 03:46:16 AM,N/A,N/A,N/A
e417889e-7212-4951-9d99-195589f67c7c,Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/05/18 03:46:16 AM,N/A,N/A,N/A
