Time Zone: (UTC-05:00) Central Daylight Time (America/Chicago)

Contact Session ID,EP Name,Flow Name,Activity Name,Activity Start Timestamp,Queue Name,Agent Name,Termination Reason
ca8b077c-23a9-4904-82d7-7768145ce69a,Main Number Telephony EP,N/A,N/A,2025/07/27 01:32:47 AM,N/A,N/A,
ca8b077c-23a9-4904-82d7-7768145ce69a,N/A,LACMain,N/A,2025/07/27 01:32:47 AM,N/A,N/A,N/A
ca8b077c-23a9-4904-82d7-7768145ce69a,Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 01:32:47 AM,N/A,N/A,N/A
ca8b077c-23a9-4904-82d7-7768145ce69a,Main Number Telephony EP,LACMain,N/A,2025/07/27 01:32:47 AM,N/A,N/A,
ca8b077c-23a9-4904-82d7-7768145ce69a,Main Number Telephony EP,N/A,N/A,2025/07/27 01:32:49 AM,N/A,N/A,Customer Left
a17a92b3-abd0-49dc-a0e2-ddc2e86fe511,N/A,N/A,N/A,2025/07/27 02:11:31 AM,Family SP,N/A,NO_ANSWER_FROM_AGENT
a17a92b3-abd0-49dc-a0e2-ddc2e86fe511,N/A,N/A,N/A,2025/07/27 02:11:31 AM,Family SP,N/A,Queue Timeout
a17a92b3-abd0-49dc-a0e2-ddc2e86fe511,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/07/27 02:11:41 AM,N/A,N/A,N/A
a17a92b3-abd0-49dc-a0e2-ddc2e86fe511,N/A,N/A,N/A,2025/07/27 02:11:41 AM,Family SP,N/A,N/A
a17a92b3-abd0-49dc-a0e2-ddc2e86fe511,N/A,N/A,N/A,2025/07/27 02:11:42 AM,Family SP,N/A,NO_ANSWER_FROM_AGENT
a17a92b3-abd0-49dc-a0e2-ddc2e86fe511,Courtesy Callback Telephony EP,N/A,N/A,2025/07/27 02:11:42 AM,Family SP,N/A,NO_ANSWER_FROM_AGENT
1033291d-9549-42a5-959c-2ccfdee194a2,N/A,N/A,N/A,2025/07/27 02:13:45 AM,Housing,N/A,Customer Left
1033291d-9549-42a5-959c-2ccfdee194a2,N/A,N/A,N/A,2025/07/27 02:13:45 AM,Housing,N/A,Queue Timeout
1033291d-9549-42a5-959c-2ccfdee194a2,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/07/27 02:13:55 AM,N/A,N/A,N/A
1033291d-9549-42a5-959c-2ccfdee194a2,N/A,N/A,N/A,2025/07/27 02:13:55 AM,Housing,N/A,N/A
1033291d-9549-42a5-959c-2ccfdee194a2,N/A,N/A,N/A,2025/07/27 02:13:55 AM,Housing,N/A,Customer Left
1033291d-9549-42a5-959c-2ccfdee194a2,Courtesy Callback Telephony EP,N/A,N/A,2025/07/27 02:13:55 AM,Housing,N/A,Customer Left
49000f14-91e6-4c9e-9c79-fae281050516,N/A,N/A,N/A,2025/07/27 02:17:23 AM,Employment,N/A,Queue Timeout
49000f14-91e6-4c9e-9c79-fae281050516,N/A,N/A,N/A,2025/07/27 02:17:23 AM,Employment,N/A,Customer Left
49000f14-91e6-4c9e-9c79-fae281050516,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/07/27 02:17:33 AM,N/A,N/A,N/A
49000f14-91e6-4c9e-9c79-fae281050516,N/A,N/A,N/A,2025/07/27 02:17:33 AM,Employment,N/A,N/A
49000f14-91e6-4c9e-9c79-fae281050516,N/A,N/A,N/A,2025/07/27 02:17:33 AM,Employment,N/A,Customer Left
49000f14-91e6-4c9e-9c79-fae281050516,Courtesy Callback Telephony EP,N/A,N/A,2025/07/27 02:17:33 AM,Employment,N/A,Customer Left
bfae4c1e-a712-4268-95b6-ad4d8fe20830,N/A,N/A,N/A,2025/07/27 02:19:04 AM,Housing,N/A,Queue Timeout
bfae4c1e-a712-4268-95b6-ad4d8fe20830,N/A,N/A,N/A,2025/07/27 02:19:04 AM,Housing,N/A,Customer Left
bfae4c1e-a712-4268-95b6-ad4d8fe20830,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/07/27 02:19:14 AM,N/A,N/A,N/A
bfae4c1e-a712-4268-95b6-ad4d8fe20830,N/A,N/A,N/A,2025/07/27 02:19:14 AM,Housing,N/A,N/A
bfae4c1e-a712-4268-95b6-ad4d8fe20830,N/A,N/A,N/A,2025/07/27 02:19:14 AM,Housing,N/A,Customer Left
bfae4c1e-a712-4268-95b6-ad4d8fe20830,Courtesy Callback Telephony EP,N/A,N/A,2025/07/27 02:19:14 AM,Housing,N/A,Customer Left
9c56261a-8e3b-44bf-a772-ec2674d782a3,N/A,N/A,N/A,2025/07/27 05:12:56 AM,Consumer,N/A,Queue Timeout
9c56261a-8e3b-44bf-a772-ec2674d782a3,N/A,N/A,N/A,2025/07/27 05:12:56 AM,Consumer,N/A,NO_ANSWER_FROM_CUSTOMER
9c56261a-8e3b-44bf-a772-ec2674d782a3,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/07/27 05:13:06 AM,N/A,N/A,N/A
9c56261a-8e3b-44bf-a772-ec2674d782a3,N/A,N/A,N/A,2025/07/27 05:13:06 AM,Consumer,N/A,N/A
9c56261a-8e3b-44bf-a772-ec2674d782a3,N/A,N/A,N/A,2025/07/27 05:13:06 AM,Consumer,N/A,NO_ANSWER_FROM_CUSTOMER
9c56261a-8e3b-44bf-a772-ec2674d782a3,Courtesy Callback Telephony EP,N/A,N/A,2025/07/27 05:13:06 AM,Consumer,N/A,NO_ANSWER_FROM_CUSTOMER
d2426780-1fc1-47d0-b7ac-a8027ae1932e,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 07:27:39 AM,N/A,N/A,
d2426780-1fc1-47d0-b7ac-a8027ae1932e,N/A,FarmworkerMain,N/A,2025/07/27 07:27:39 AM,N/A,N/A,N/A
d2426780-1fc1-47d0-b7ac-a8027ae1932e,Farmworker Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 07:27:39 AM,N/A,N/A,N/A
d2426780-1fc1-47d0-b7ac-a8027ae1932e,Farmworker Main Number Telephony EP,FarmworkerMain,N/A,2025/07/27 07:27:39 AM,N/A,N/A,
d2426780-1fc1-47d0-b7ac-a8027ae1932e,Farmworker Main Number Telephony EP,N/A,FarmworkerMainMenu,2025/07/27 07:27:47 AM,N/A,N/A,N/A
debf53e9-de01-44ae-a767-99a407b020e2,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 07:54:34 AM,N/A,N/A,
debf53e9-de01-44ae-a767-99a407b020e2,N/A,FarmworkerMain,N/A,2025/07/27 07:54:34 AM,N/A,N/A,N/A
debf53e9-de01-44ae-a767-99a407b020e2,Farmworker Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 07:54:34 AM,N/A,N/A,N/A
debf53e9-de01-44ae-a767-99a407b020e2,Farmworker Main Number Telephony EP,FarmworkerMain,N/A,2025/07/27 07:54:34 AM,N/A,N/A,
debf53e9-de01-44ae-a767-99a407b020e2,Farmworker Main Number Telephony EP,N/A,FarmworkerMainMenu,2025/07/27 07:54:42 AM,N/A,N/A,N/A
865e5911-ea6a-4047-8ebe-485bf64fe01a,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 07:55:58 AM,N/A,N/A,
865e5911-ea6a-4047-8ebe-485bf64fe01a,N/A,FarmworkerMain,N/A,2025/07/27 07:55:58 AM,N/A,N/A,N/A
865e5911-ea6a-4047-8ebe-485bf64fe01a,Farmworker Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 07:55:58 AM,N/A,N/A,N/A
865e5911-ea6a-4047-8ebe-485bf64fe01a,Farmworker Main Number Telephony EP,FarmworkerMain,N/A,2025/07/27 07:55:58 AM,N/A,N/A,
865e5911-ea6a-4047-8ebe-485bf64fe01a,Farmworker Main Number Telephony EP,N/A,FarmworkerMainMenu,2025/07/27 07:56:05 AM,N/A,N/A,N/A
d2426780-1fc1-47d0-b7ac-a8027ae1932e,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 07:56:09 AM,N/A,N/A,Customer Left
de2177d5-a865-46de-956d-768648851a89,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 08:15:19 AM,N/A,N/A,
de2177d5-a865-46de-956d-768648851a89,N/A,FarmworkerMain,N/A,2025/07/27 08:15:19 AM,N/A,N/A,N/A
de2177d5-a865-46de-956d-768648851a89,Farmworker Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 08:15:19 AM,N/A,N/A,N/A
de2177d5-a865-46de-956d-768648851a89,Farmworker Main Number Telephony EP,FarmworkerMain,N/A,2025/07/27 08:15:19 AM,N/A,N/A,
de2177d5-a865-46de-956d-768648851a89,Farmworker Main Number Telephony EP,N/A,FarmworkerMainMenu,2025/07/27 08:15:27 AM,N/A,N/A,N/A
debf53e9-de01-44ae-a767-99a407b020e2,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 08:23:01 AM,N/A,N/A,Customer Left
865e5911-ea6a-4047-8ebe-485bf64fe01a,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 08:25:50 AM,N/A,N/A,Customer Left
2e6cbe9c-3ecc-4215-a493-10a6b7f4f3dd,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 08:28:34 AM,N/A,N/A,
2e6cbe9c-3ecc-4215-a493-10a6b7f4f3dd,N/A,FarmworkerMain,N/A,2025/07/27 08:28:34 AM,N/A,N/A,N/A
2e6cbe9c-3ecc-4215-a493-10a6b7f4f3dd,Farmworker Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 08:28:34 AM,N/A,N/A,N/A
2e6cbe9c-3ecc-4215-a493-10a6b7f4f3dd,Farmworker Main Number Telephony EP,FarmworkerMain,N/A,2025/07/27 08:28:34 AM,N/A,N/A,
2e6cbe9c-3ecc-4215-a493-10a6b7f4f3dd,Farmworker Main Number Telephony EP,N/A,FarmworkerMainMenu,2025/07/27 08:28:42 AM,N/A,N/A,N/A
de2177d5-a865-46de-956d-768648851a89,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 08:44:10 AM,N/A,N/A,Customer Left
2e6cbe9c-3ecc-4215-a493-10a6b7f4f3dd,Farmworker Main Number Telephony EP,N/A,N/A,2025/07/27 08:56:45 AM,N/A,N/A,Customer Left
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,Main Number Telephony EP,N/A,N/A,2025/07/27 08:56:50 AM,N/A,N/A,
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,N/A,LACMain,N/A,2025/07/27 08:56:50 AM,N/A,N/A,N/A
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/07/27 08:56:50 AM,N/A,N/A,N/A
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,Main Number Telephony EP,LACMain,N/A,2025/07/27 08:56:51 AM,N/A,N/A,
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,N/A,ClosedHoursHolidaysMenu,N/A,2025/07/27 08:57:02 AM,N/A,N/A,N/A
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,Closed Hours-Holidays Menu Telephony EP,N/A,ClosedMenu,2025/07/27 08:57:02 AM,N/A,N/A,N/A
41790b90-8bb4-4ae7-8897-c25fc0aa5c84,Closed Hours-Holidays Menu Telephony EP,N/A,N/A,2025/07/27 08:57:14 AM,N/A,N/A,Customer Left
7dbf613f-b71c-46ac-a9b9-d527bc9655d3,Main Number Telephony EP,N/A,N/A,2025/07/27 08:57:50 AM,N/A,N/A,
7dbf613f-b71c-46ac-a9b9-d527bc9655d3,N/A,LACMain,N/A,2025/07/27 08:57:50 AM,N/A,N/A,N/A
