Time Zone: (UTC-05:00) Central Daylight Time (America/Chicago)

Contact Session ID,EP Name,Flow Name,Activity Name,Activity Start Timestamp,Queue Name,Agent Name,Termination Reason
ad3134ba-462d-4483-91e2-db98744d2ada,N/A,N/A,N/A,2025/03/23 02:17:59 AM,SubSenior Benefits SP,N/A,Customer Left
ad3134ba-462d-4483-91e2-db98744d2ada,N/A,N/A,N/A,2025/03/23 02:17:59 AM,SubSenior Benefits SP,N/A,Queue Timeout
ad3134ba-462d-4483-91e2-db98744d2ada,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/03/23 02:18:09 AM,N/A,N/A,N/A
ad3134ba-462d-4483-91e2-db98744d2ada,N/A,N/A,N/A,2025/03/23 02:18:09 AM,SubSenior Benefits SP,N/A,N/A
ad3134ba-462d-4483-91e2-db98744d2ada,N/A,N/A,N/A,2025/03/23 02:18:09 AM,SubSenior Benefits SP,N/A,Customer Left
ad3134ba-462d-4483-91e2-db98744d2ada,Courtesy Callback Telephony EP,N/A,N/A,2025/03/23 02:18:09 AM,SubSenior Benefits SP,N/A,Customer Left
b3007b1b-7f7c-441f-84b3-4f66c3683e9a,Main Number Telephony EP,N/A,N/A,2025/03/23 03:04:54 AM,N/A,N/A,
b3007b1b-7f7c-441f-84b3-4f66c3683e9a,N/A,LACMain,N/A,2025/03/23 03:04:54 AM,N/A,N/A,N/A
b3007b1b-7f7c-441f-84b3-4f66c3683e9a,Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/03/23 03:04:54 AM,N/A,N/A,N/A
b3007b1b-7f7c-441f-84b3-4f66c3683e9a,Main Number Telephony EP,LACMain,N/A,2025/03/23 03:04:54 AM,N/A,N/A,
b3007b1b-7f7c-441f-84b3-4f66c3683e9a,Main Number Telephony EP,N/A,N/A,2025/03/23 03:04:57 AM,N/A,N/A,Customer Left
8127a96c-8be1-4e66-bd15-caeffb819a5e,N/A,N/A,N/A,2025/03/23 04:38:51 AM,Family SP,N/A,Queue Timeout
8127a96c-8be1-4e66-bd15-caeffb819a5e,N/A,N/A,N/A,2025/03/23 04:38:51 AM,Family SP,N/A,Customer Left
8127a96c-8be1-4e66-bd15-caeffb819a5e,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/03/23 04:39:01 AM,N/A,N/A,N/A
8127a96c-8be1-4e66-bd15-caeffb819a5e,N/A,N/A,N/A,2025/03/23 04:39:01 AM,Family SP,N/A,N/A
8127a96c-8be1-4e66-bd15-caeffb819a5e,N/A,N/A,N/A,2025/03/23 04:39:01 AM,Family SP,N/A,Customer Left
8127a96c-8be1-4e66-bd15-caeffb819a5e,Courtesy Callback Telephony EP,N/A,N/A,2025/03/23 04:39:02 AM,Family SP,N/A,Customer Left
a7b6a4bf-3175-42a6-aa15-792bfe3fa98d,N/A,N/A,N/A,2025/03/23 05:17:56 AM,Housing,N/A,Customer Left
a7b6a4bf-3175-42a6-aa15-792bfe3fa98d,N/A,N/A,N/A,2025/03/23 05:17:56 AM,Housing,N/A,Queue Timeout
a7b6a4bf-3175-42a6-aa15-792bfe3fa98d,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/03/23 05:18:06 AM,N/A,N/A,N/A
a7b6a4bf-3175-42a6-aa15-792bfe3fa98d,N/A,N/A,N/A,2025/03/23 05:18:06 AM,Housing,N/A,N/A
a7b6a4bf-3175-42a6-aa15-792bfe3fa98d,N/A,N/A,N/A,2025/03/23 05:18:06 AM,Housing,N/A,Customer Left
a7b6a4bf-3175-42a6-aa15-792bfe3fa98d,Courtesy Callback Telephony EP,N/A,N/A,2025/03/23 05:18:06 AM,Housing,N/A,Customer Left
2dd8d50b-7b6f-4464-a071-8cbf0cf90476,N/A,N/A,N/A,2025/03/23 05:25:10 AM,Consumer SP,N/A,Queue Timeout
2dd8d50b-7b6f-4464-a071-8cbf0cf90476,N/A,N/A,N/A,2025/03/23 05:25:10 AM,Consumer SP,N/A,Customer Left
2dd8d50b-7b6f-4464-a071-8cbf0cf90476,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/03/23 05:25:20 AM,N/A,N/A,N/A
2dd8d50b-7b6f-4464-a071-8cbf0cf90476,N/A,N/A,N/A,2025/03/23 05:25:20 AM,Consumer SP,N/A,N/A
2dd8d50b-7b6f-4464-a071-8cbf0cf90476,N/A,N/A,N/A,2025/03/23 05:25:20 AM,Consumer SP,N/A,Customer Left
2dd8d50b-7b6f-4464-a071-8cbf0cf90476,Courtesy Callback Telephony EP,N/A,N/A,2025/03/23 05:25:20 AM,Consumer SP,N/A,Customer Left
0d5dec0a-ec28-4bb0-a728-5f848b543d8d,N/A,N/A,N/A,2025/03/23 05:25:35 AM,Family,N/A,Customer Left
0d5dec0a-ec28-4bb0-a728-5f848b543d8d,N/A,N/A,N/A,2025/03/23 05:25:35 AM,Family,N/A,Queue Timeout
0d5dec0a-ec28-4bb0-a728-5f848b543d8d,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/03/23 05:25:45 AM,N/A,N/A,N/A
0d5dec0a-ec28-4bb0-a728-5f848b543d8d,N/A,N/A,N/A,2025/03/23 05:25:45 AM,Family,N/A,N/A
0d5dec0a-ec28-4bb0-a728-5f848b543d8d,N/A,N/A,N/A,2025/03/23 05:25:45 AM,Family,N/A,Customer Left
0d5dec0a-ec28-4bb0-a728-5f848b543d8d,Courtesy Callback Telephony EP,N/A,N/A,2025/03/23 05:25:45 AM,Family,N/A,Customer Left
d05632ba-347b-42f8-9737-0aeaec79ed9e,N/A,N/A,N/A,2025/03/23 05:28:12 AM,Consumer,N/A,Customer Left
d05632ba-347b-42f8-9737-0aeaec79ed9e,N/A,N/A,N/A,2025/03/23 05:28:12 AM,Consumer,N/A,Queue Timeout
d05632ba-347b-42f8-9737-0aeaec79ed9e,Courtesy Callback Telephony EP,N/A,CallbackRetry,2025/03/23 05:28:22 AM,N/A,N/A,N/A
d05632ba-347b-42f8-9737-0aeaec79ed9e,N/A,N/A,N/A,2025/03/23 05:28:22 AM,Consumer,N/A,N/A
d05632ba-347b-42f8-9737-0aeaec79ed9e,N/A,N/A,N/A,2025/03/23 05:28:22 AM,Consumer,N/A,Customer Left
d05632ba-347b-42f8-9737-0aeaec79ed9e,Courtesy Callback Telephony EP,N/A,N/A,2025/03/23 05:28:22 AM,Consumer,N/A,Customer Left
6ccf735f-6ae4-4755-bdfa-28f1528bc5ee,Farmworker Main Number Telephony EP,N/A,N/A,2025/03/23 06:10:35 AM,N/A,N/A,
6ccf735f-6ae4-4755-bdfa-28f1528bc5ee,N/A,FarmworkerMain,N/A,2025/03/23 06:10:35 AM,N/A,N/A,N/A
6ccf735f-6ae4-4755-bdfa-28f1528bc5ee,Farmworker Main Number Telephony EP,N/A,LanguageSelectionMenu,2025/03/23 06:10:35 AM,N/A,N/A,N/A
6ccf735f-6ae4-4755-bdfa-28f1528bc5ee,Farmworker Main Number Telephony EP,FarmworkerMain,N/A,2025/03/23 06:10:35 AM,N/A,N/A,
6ccf735f-6ae4-4755-bdfa-28f1528bc5ee,Farmworker Main Number Telephony EP,N/A,FarmworkerMainMenu,2025/03/23 06:10:43 AM,N/A,N/A,N/A
